Designator,Mid X,Mid Y,Rotation,Layer
D150,274.989,-180.039,0.0,bottom
D151,103.539,-199.089,0.0,bottom
D152,122.589,-199.089,0.0,bottom
D153,141.639,-199.089,0.0,bottom
D154,160.689,-199.089,0.0,bottom
D155,179.739,-199.089,0.0,bottom
D156,198.789,-199.089,0.0,bottom
D157,217.839,-199.089,0.0,bottom
D158,236.889,-199.089,0.0,bottom
D159,255.939,-199.089,0.0,bottom
D16,206.004,-113.639,0.0,bottom
D160,274.989,-199.089,0.0,bottom
D161,103.539,-218.139,0.0,bottom
D162,122.589,-218.139,0.0,bottom
D163,141.639,-218.139,0.0,bottom
D164,160.689,-218.139,0.0,bottom
D165,179.739,-218.139,0.0,bottom
D166,198.789,-218.139,0.0,bottom
D167,217.839,-218.139,0.0,bottom
D168,236.889,-218.139,0.0,bottom
D169,255.939,-218.139,0.0,bottom
D17,225.054,-113.639,0.0,bottom
D170,274.989,-218.139,0.0,bottom
D171,103.539,-237.189,0.0,bottom
D172,122.589,-237.189,0.0,bottom
D173,141.639,-237.189,0.0,bottom
D174,160.689,-237.189,0.0,bottom
D175,179.739,-237.189,0.0,bottom
D176,198.789,-237.189,0.0,bottom
D177,217.839,-237.189,0.0,bottom
D178,236.889,-237.189,0.0,bottom
D179,255.939,-237.189,0.0,bottom
D18,244.104,-113.639,0.0,bottom
D180,274.989,-237.189,0.0,bottom
D181,103.539,-256.239,0.0,bottom
D182,122.589,-256.239,0.0,bottom
D183,141.639,-256.239,0.0,bottom
D184,160.689,-256.239,0.0,bottom
D185,179.739,-256.239,0.0,bottom
D186,198.789,-256.239,0.0,bottom
D187,217.839,-256.239,0.0,bottom
D188,236.889,-256.239,0.0,bottom
D189,255.939,-256.239,0.0,bottom
D19,263.154,-113.639,0.0,bottom
D190,274.989,-256.239,0.0,bottom
D191,103.539,-275.289,0.0,bottom
D192,122.589,-275.289,0.0,bottom
D193,141.639,-275.289,0.0,bottom
D194,160.689,-275.289,0.0,bottom
D195,179.739,-275.289,0.0,bottom
D196,198.789,-275.289,0.0,bottom
D197,217.839,-275.289,0.0,bottom
D198,236.889,-275.289,0.0,bottom
D199,255.939,-275.289,0.0,bottom
D2,129.804,-94.589,0.0,bottom
D20,282.204,-113.639,0.0,bottom
D200,274.989,-275.289,0.0,bottom
D205,273.868,-78.85,0.0,bottom
D21,110.754,-132.689,0.0,bottom
D22,129.804,-132.689,0.0,bottom
D23,148.854,-132.689,0.0,bottom
D24,167.904,-132.689,0.0,bottom
D25,186.954,-132.689,0.0,bottom
D26,206.004,-132.689,0.0,bottom
D27,225.054,-132.689,0.0,bottom
D28,244.104,-132.689,0.0,bottom
D29,263.154,-132.689,0.0,bottom
D3,148.854,-94.589,0.0,bottom
D30,282.204,-132.689,0.0,bottom
D31,110.754,-151.739,0.0,bottom
D32,129.804,-151.739,0.0,bottom
D33,148.854,-151.739,0.0,bottom
D34,167.904,-151.739,0.0,bottom
D35,186.954,-151.739,0.0,bottom
D36,206.004,-151.739,0.0,bottom
D37,225.054,-151.739,0.0,bottom
D38,244.104,-151.739,0.0,bottom
D39,263.154,-151.739,0.0,bottom
D4,167.904,-94.589,0.0,bottom
D40,282.204,-151.739,0.0,bottom
D41,110.754,-170.789,0.0,bottom
D42,129.804,-170.789,0.0,bottom
D43,148.854,-170.789,0.0,bottom
D44,167.904,-170.789,0.0,bottom
D45,186.954,-170.789,0.0,bottom
D46,206.004,-170.789,0.0,bottom
D47,225.054,-170.789,0.0,bottom
D48,244.104,-170.789,0.0,bottom
D49,263.154,-170.789,0.0,bottom
D5,186.954,-94.589,0.0,bottom
D50,282.204,-170.789,0.0,bottom
D51,110.754,-189.839,0.0,bottom
D52,129.804,-189.839,0.0,bottom
D53,148.854,-189.839,0.0,bottom
D54,167.904,-189.839,0.0,bottom
D55,186.954,-189.839,0.0,bottom
D56,206.004,-189.839,0.0,bottom
D57,225.054,-189.839,0.0,bottom
D58,244.104,-189.839,0.0,bottom
D59,263.154,-189.839,0.0,bottom
D6,206.004,-94.589,0.0,bottom
D60,282.204,-189.839,0.0,bottom
D61,110.754,-208.889,0.0,bottom
D62,129.804,-208.889,0.0,bottom
D63,148.854,-208.889,0.0,bottom
D64,167.904,-208.889,0.0,bottom
D65,186.954,-208.889,0.0,bottom
D66,206.004,-208.889,0.0,bottom
D67,225.054,-208.889,0.0,bottom
D68,244.104,-208.889,0.0,bottom
D69,263.154,-208.889,0.0,bottom
D7,225.054,-94.589,0.0,bottom
D70,282.204,-208.889,0.0,bottom
D71,110.754,-227.939,0.0,bottom
D72,129.804,-227.939,0.0,bottom
D73,148.854,-227.939,0.0,bottom
D74,167.904,-227.939,0.0,bottom
D75,186.954,-227.939,0.0,bottom
D76,206.004,-227.939,0.0,bottom
D77,225.054,-227.939,0.0,bottom
D78,244.104,-227.939,0.0,bottom
D79,263.154,-227.939,0.0,bottom
D8,244.104,-94.589,0.0,bottom
D80,282.204,-227.939,0.0,bottom
D81,110.754,-246.989,0.0,bottom
D82,129.804,-246.989,0.0,bottom
D83,148.854,-246.989,0.0,bottom
D84,167.904,-246.989,0.0,bottom
D85,186.954,-246.989,0.0,bottom
D86,206.004,-246.989,0.0,bottom
D87,225.054,-246.989,0.0,bottom
D88,244.104,-246.989,0.0,bottom
D89,263.154,-246.989,0.0,bottom
D9,263.154,-94.589,0.0,bottom
